"0","","","","","P","利用規約","",""
"1"," 2 3","","2018-05-16T17:44:08.234","","P","利用規約	","",""
"2","","2018-05-14T01:04:15.781","2018-05-15T17:11:26.602","","P","PDCAちゃんねるは、PDCAちゃんねるを本利用規約を含めて自由に改変できるものとします。	（PDCAちゃんねるを作り替えていくうちに変えたい点、修正したい点があった時に、管理者側でPDCAちゃんねるや規約を変更します。）","",""
"3"," 4","2018-05-16T17:44:08.234","2018-05-16T18:49:06.490","","P","当サイトのコンテンツは、投稿されたコメントに対して、その道の専門家ではないユーザーが、その時点で最良とするアイディアをPDCA形式で投稿するサイクルを繰り返すことで信ぴょう性を高めながら改善案を作り上げていく過程をコンテンツとして扱っていますが、その内容が誤りであったり、改善ではなく改悪である可能性もある為、当サイト、投稿者はコンテンツの正確性・速報性・合法性・完全性・有用性など、いかなる保証もいたしません。		当サイト、投稿者は、当サイトの利用者、又は当サイトの利用者を通じて第三者が当サイトのコンテンツを元に計画、実行、評価、改善、等を行った結果に対して、一切の責任を負わないものとします。		当サイトのコンテンツに書かれている情報は全て嘘、あるいは改善ではなく改悪であり何も信じない、何もしない、何も思わない、何も考えないという前提で自己責任でご利用頂く点をご理解頂いた方のみご利用になれます。		利用者は、当サイトの利用者、又は当サイトの利用者を通じて第三者が当サイトのコンテンツを元に計画、実行、評価、改善、等を行った結果に対して、利用者自身が責任を負うものとします。		コメントを投稿する方（投稿者）は対象となるコメントに対して、法律、公序良俗に反しない、迷惑行為ではない、利用者及びコメントに対して提案できる最良の案を投稿をするものとします。		投稿者は、当サイトに対して著作者人格権を行使しないものとします。		不適切な投稿ついては見つけ次第削除します。		本サイトのサービス提供を阻害する、議題と関係のないコメントや広告、F5キーの連打、荒らし行為、スパム、ハッキング等の迷惑行為についてはおやめください。		本サイトの不具合に対して、管理者は一切の責任を負いません。		利用者間で発生した紛争・トラブルについては、各利用者間で解決するものとし、当サイトは責任を負わないものとします。		困ったことがある人は、身近な人に相談することをお勧めします。	ご自身の状況を知らない他人が集まって、もしかしたら考え方に癖や難のある人達が好き勝手にコメントして作り上げて改悪していくかもしれない当サイト及び当サイトのコンテンツをご利用の前に、ご自身の周りに相談できる人がいないか、今一度確認することをお勧めします。","",""
"4"," 5","2018-05-16T18:49:06.490","2018-05-16T18:53:04.665","","D","左記規約を作成した","",""
"5"," 6 7","2018-05-16T18:53:04.665","2018-05-16T18:56:55.769","","C","提供したいサービスや、免責事項等を、ユーザに分かりやすい形にして作成したのだが、少し心もとない。	利用規約の作成において、サービスのリリースを焦り、利用規約の下調べをよくしなかった為、知識不足で利用規約の全貌が分からない為、作成した規約がどの程度の者か判断がつかない。		もう少し利用規約について調べてみようと思う。","",""
"6"," 9","2018-05-16T18:54:40.454","2018-05-16T19:00:04.728","","A","利用規約についてさらに下調べをして、利用規約の作り直しが必要かどうかを判断する。","",""
"7"," 8","2018-05-16T18:56:55.769","2018-05-16T18:59:24.529","","A","サービスリリースについては、とりあえずの規約でリリースすべきか検討する。","",""
"8","","2018-05-16T18:59:24.529","","","P","利用規約の下調べをした後、作成した利用規約で問題ないか、作り直しが必要かどうかを検討し、サービスリリースの判断を行う。サービスリリースは判断するまで保留とする。","",""
"9","","2018-05-16T19:00:04.728","","","P","利用規約の下調べをする。","",""
